Assessment Name,URL,Test Types,Adaptive,Remote,Description,Job Levels,Languages,Assessment Length,Cleaned Description,Text for Embedding
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement",False,False,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","Mid-Professional,","English (USA),",49,"the account manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. potential job titles that use this solution are: account executive, account manager, and senior account manager. there are multiple configurations of this solution available.","Account Manager Solution. the account manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. potential job titles that use this solution are: account executive, account manager, and senior account manager. there are multiple configurations of this solution available.. Duration: 49 mins. Test Type: Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"Ability & Aptitude, Knowledge & Skills, Personality & Behavior",False,False,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Entry-Level,","English (USA),",36,"the administrative professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. potential job titles that use this solution are: administrative assistant, secretary, office manager, administrative aide, and administrative associate.","Administrative Professional - Short Form. the administrative professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. potential job titles that use this solution are: administrative assistant, secretary, office manager, administrative aide, and administrative associate.. Duration: 36 mins. Test Type: Ability & Aptitude, Knowledge & Skills, Personality & Behavior"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",51,"the agency manager solution is for mid-level sales management positions that include front line management and sales responsibilities. sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. potential job titles that use this solution are: agency manager, brokerage manager. multiple configurations of this solution are available.","Agency Manager Solution. the agency manager solution is for mid-level sales management positions that include front line management and sales responsibilities. sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. potential job titles that use this solution are: agency manager, brokerage manager. multiple configurations of this solution are available.. Duration: 51 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Biodata & Situational Judgement, Personality & Behavior",False,False,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.","General Population, Graduate, Entry-Level,","English International, German,",30,"the apprentice + 8.0 job-focused assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organisations whose business spans across regions.","Apprentice + 8.0 Job Focused Assessment. the apprentice + 8.0 job-focused assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organisations whose business spans across regions.. Duration: 30 mins. Test Type: Biodata & Situational Judgement, Personality & Behavior"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Biodata & Situational Judgement, Personality & Behavior",False,False,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.","Entry-Level, General Population, Graduate,","English International, German, French,",20,"the apprentice 8.0 job-focused assessment is a short, targeted, globally applicable assessment. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organizations whose business spans across regions.","Apprentice 8.0 Job Focused Assessment. the apprentice 8.0 job-focused assessment is a short, targeted, globally applicable assessment. this assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. it is intended to be used multi-nationally for organizations whose business spans across regions.. Duration: 20 mins. Test Type: Biodata & Situational Judgement, Personality & Behavior"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",False,False,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Entry-Level,","English (USA),",35,"the administrative assistant solution is for entry-level clerical positions that interact with external or internal customers. sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. potential job titles that use this solution are: receptionist and administrative assistant. there are multiple configurations of this solution available.","Bank Administrative Assistant - Short Form. the administrative assistant solution is for entry-level clerical positions that interact with external or internal customers. sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. potential job titles that use this solution are: receptionist and administrative assistant. there are multiple configurations of this solution available.. Duration: 35 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",45,"this solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. there are multiple configurations and versions of this solution available.","Bank Collections Agent - Short Form. this solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. there are multiple configurations and versions of this solution available.. Duration: 45 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",False,False,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",45,"the bank operations supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor. there are multiple configurations and versions of this solution available.","Bank Operations Supervisor - Short Form. the bank operations supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor. there are multiple configurations and versions of this solution available.. Duration: 45 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude",False,False,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,","English (USA), Latin American Spanish,",43,"the bilingual reservation agent solution is designed for customer centered entry-level positions within the hospitality industry. sample tasks may include making, updating, or canceling hotel reservations made in english or spanish; listening to customers speak spanish and entering information into a computer in english; providing information on the hotel and the services offered. potential job titles that use this solution are: bilingual reservation agent, customer service representative and reservationist. multiple configurations of this solution are available.","Bilingual Spanish Reservation Agent Solution. the bilingual reservation agent solution is designed for customer centered entry-level positions within the hospitality industry. sample tasks may include making, updating, or canceling hotel reservations made in english or spanish; listening to customers speak spanish and entering information into a computer in english; providing information on the hotel and the services offered. potential job titles that use this solution are: bilingual reservation agent, customer service representative and reservationist. multiple configurations of this solution are available.. Duration: 43 mins. Test Type: Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",False,False,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.","Entry-Level,","English (USA),",49,"the bookkeeping, accounting, and auditing clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. potential job titles that use this solution are: accounting clerk, bookkeeper, accounting associate, auditing clerk and accounts receivable clerk.","Bookkeeping, Accounting, Auditing Clerk Short Form. the bookkeeping, accounting, and auditing clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. potential job titles that use this solution are: accounting clerk, bookkeeper, accounting associate, auditing clerk and accounts receivable clerk.. Duration: 49 mins. Test Type: Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",False,False,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",50,"this solution is for mid to upper-level financial institution managerial positions. candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. there are multiple configurations and versions of this solution available.","Branch Manager - Short Form. this solution is for mid to upper-level financial institution managerial positions. candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. there are multiple configurations and versions of this solution available.. Duration: 50 mins. Test Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
